time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure,altitude,fix_q,sat,lat,long,gps_alt,gps_speed,telem_signal
2322.123,-0.37,-9.887,-0.525,-0.11,0.862,-0.186,0.004,-0.003,-0.0,96.344,31.214,994.743,13.916,0.0,0.0,0.0,0.0,0.0,0.0,-48
2322.532,-0.372,-9.896,-0.537,-0.111,0.871,-0.194,0.003,-0.005,-0.002,96.344,30.978,994.743,13.389,0.0,0.0,0.0,0.0,0.0,0.0,-53
2322.938,-0.38,-9.905,-0.521,-0.105,0.867,-0.187,0.003,-0.001,-0.001,96.353,30.726,994.74,12.825,0.0,0.0,0.0,0.0,0.0,0.0,-55
2323.351,-0.397,-9.885,-0.569,-0.11,0.873,-0.184,0.006,-0.003,0.001,96.362,30.869,994.716,12.931,0.0,0.0,0.0,0.0,0.0,0.0,-57
2323.759,-0.392,-9.882,-0.421,-0.114,0.87,-0.185,0.006,-0.002,-0.002,96.381,31.148,994.738,12.788,0.0,0.0,0.0,0.0,0.0,0.0,-57
2324.165,-0.398,-9.918,-0.517,-0.115,0.865,-0.185,0.004,-0.001,-0.001,96.353,31.241,994.732,13.351,0.0,0.0,0.0,0.0,0.0,0.0,-48
2324.577,-0.385,-9.916,-0.577,-0.107,0.854,-0.176,0.0,-0.001,-0.001,96.344,30.924,994.728,12.567,0.0,0.0,0.0,0.0,0.0,0.0,-48
2324.987,-0.391,-9.898,-0.55,-0.11,0.869,-0.172,0.0,-0.002,-0.002,96.344,30.781,994.731,13.935,0.0,0.0,0.0,0.0,0.0,0.0,-48
2325.395,-0.371,-9.895,-0.534,-0.121,0.882,-0.186,0.001,0.0,0.0,96.344,31.088,994.746,13.504,0.0,0.0,0.0,0.0,0.0,0.0,-47
2325.797,-0.388,-9.925,-0.586,-0.111,0.865,-0.183,0.004,-0.003,-0.0,96.335,31.028,994.708,12.643,0.0,0.0,0.0,0.0,0.0,0.0,-48
2326.203,-0.378,-9.902,-0.598,-0.113,0.857,-0.187,0.005,-0.006,-0.001,96.307,30.858,994.737,12.882,0.0,0.0,0.0,0.0,0.0,0.0,-49
2326.612,-0.377,-9.893,-0.539,-0.112,0.87,-0.184,0.006,0.0,0.0,96.289,31.22,994.709,13.465,0.0,0.0,0.0,0.0,0.0,0.0,-58
2327.011,-0.378,-9.89,-0.612,-0.112,0.859,-0.186,-0.001,-0.001,-0.003,96.289,30.891,994.753,13.791,0.0,0.0,0.0,0.0,0.0,0.0,-57
2327.421,-0.363,-9.904,-0.617,-0.116,0.858,-0.175,0.001,0.001,0.0,96.28,31.204,994.743,13.638,0.0,0.0,0.0,0.0,0.0,0.0,-58
2328.231,-0.361,-9.894,-0.537,-0.117,0.87,-0.182,0.001,-0.006,-0.0,96.261,30.99,994.743,13.255,0.0,0.0,0.0,0.0,0.0,0.0,-47
2328.64,-0.385,-9.907,-0.513,-0.111,0.862,-0.185,0.007,-0.008,0.001,96.252,31.056,994.704,13.685,0.0,0.0,0.0,0.0,0.0,0.0,-46
2329.049,-0.369,-9.89,-0.522,-0.115,0.86,-0.182,0.005,-0.005,-0.0,96.252,31.012,994.742,13.207,0.0,0.0,0.0,0.0,0.0,0.0,-46
2329.458,-0.383,-9.916,-0.55,-0.112,0.874,-0.168,0.003,0.038,-0.002,96.252,30.985,994.72,12.92,0.0,0.0,0.0,0.0,0.0,0.0,-46
2329.864,-0.389,-9.93,-0.556,-0.121,0.87,-0.179,0.004,-0.002,-0.002,96.224,31.341,994.729,12.49,0.0,0.0,0.0,0.0,0.0,0.0,-47
2330.273,-0.388,-9.877,-0.595,-0.119,0.862,-0.196,0.005,0.001,0.003,96.243,31.122,994.749,13.34,0.0,0.0,0.0,0.0,0.0,0.0,-45
2330.677,-0.376,-9.891,-0.638,-0.11,0.884,-0.188,0.004,-0.002,-0.001,96.27,31.067,994.733,12.728,0.0,0.0,0.0,0.0,0.0,0.0,-46
2331.081,-0.386,-9.913,-0.565,-0.116,0.87,-0.179,-0.001,-0.004,-0.001,96.234,31.237,994.744,12.872,0.0,0.0,0.0,0.0,0.0,0.0,-47
2331.49,-0.385,-9.903,-0.559,-0.111,0.864,-0.185,0.005,-0.003,-0.001,96.243,31.046,994.726,13.13,0.0,0.0,0.0,0.0,0.0,0.0,-46
2331.897,-0.379,-9.918,-0.516,-0.111,0.861,-0.175,0.003,-0.001,-0.001,96.197,31.117,994.735,12.642,0.0,0.0,0.0,0.0,0.0,0.0,-45
2332.308,-0.395,-9.91,-0.555,-0.105,0.859,-0.181,-0.001,-0.001,-0.001,96.188,31.15,994.724,13.77,0.0,0.0,0.0,0.0,0.0,0.0,-46
